task_id,learner_id,iteration,surv.graf,surv.harrell_c,algo,PCA,Tuning
Clinical Data,"RSF (no PCA, untuned)",1,0.167204109144558,0.556869864463806,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",2,0.170583721803013,0.570057570934296,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",3,0.181333456098234,0.668819189071655,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",4,0.187167135165697,0.568574011325836,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",5,0.180626840054658,0.472043991088867,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",6,0.162946271701054,0.683131396770477,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",7,0.170790552480169,0.661971807479858,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",8,0.144229156616286,0.658658683300018,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",9,0.164247046510891,0.686553001403809,rfsrc,no PCA,untuned
Clinical Data,"RSF (no PCA, untuned)",10,0.184569148037549,0.647887349128723,rfsrc,no PCA,untuned
Clinical Data,"RSF (PCA, tuned)",1,0.168281368351445,0.562329411506653,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",2,0.180332112098805,0.550863742828369,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",3,0.185282229393358,0.61992621421814,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",4,0.184567051147933,0.578564941883087,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",5,0.177505585351823,0.519706666469574,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",6,0.166903664508063,0.646784722805023,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",7,0.17306277377887,0.642253518104553,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",8,0.148865524249924,0.640640616416931,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",9,0.16685639555280601,0.666666686534882,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, tuned)",10,0.195950920479426,0.596579492092133,rfsrc,PCA,tuned
Clinical Data,"RSF (PCA, untuned)",1,0.167117817352057,0.598726093769073,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",2,0.170283337584918,0.598848342895508,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",3,0.184035830586017,0.687269389629364,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",4,0.181330579206562,0.594005465507507,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",5,0.164718081154323,0.539871692657471,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",6,0.169918203896341,0.659832239151001,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",7,0.17880584807139,0.645070433616638,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",8,0.146818643666788,0.628628611564636,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",9,0.17002386544909,0.660984873771667,rfsrc,PCA,untuned
Clinical Data,"RSF (PCA, untuned)",10,0.192351852450521,0.627766609191895,rfsrc,PCA,untuned
Clinical Data,"xgboost (no PCA, tuned)",1,0.199142610610846,0.585987269878387,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",2,0.24753428325352,0.571017265319824,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",3,0.242942595475481,0.579335808753967,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",4,0.218040810241547,0.483197093009949,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",5,0.161860100160119,0.380384981632233,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",6,0.214297691431822,0.62907737493515,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",7,0.237017514355748,0.595305144786835,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",8,0.232753576793285,0.586586594581604,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",9,0.239388227656283,0.629734873771667,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, tuned)",10,0.226708084170145,0.508048295974731,xgboost,no PCA,tuned
Clinical Data,"xgboost (no PCA, untuned)",1,0.381748272679224,0.393084615468979,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",2,0.408284074198126,0.524951994419098,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",3,0.376341867720891,0.549815475940704,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",4,0.375132377921992,0.415077209472656,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",5,0.412446275312487,0.487626045942307,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",6,0.438459391765486,0.556383967399597,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",7,0.449211936975585,0.62629109621048,xgboost,no PCA,untuned
Clinical Data,"xgboost (no PCA, untuned)",8,0.448826731381661,0.510510504245758,xgboost,no PCA,untuned
